review,sentiment
guy got phone exchange mia1 r 6200review giving using phone day pro bettery backup superb charge alternate day display awesome3 camera quality good must knowledge lighting take awesome picture ram 4gb rom 64gb quite good normal use5 face recognition fast con camera good understand lighting position user complain pattern lock available satisfied face lock numeric lock weight around 200gms overall good phone exchange never disappoint trust,neutral
great product price range sturdy design come good quality back cover really protect phone fall camera quality great outdoor indoor speaker good fingerprint scanner face recognization work excellently battery last long long dispit c type charger take bit time recharge fully average use non gaming use last almost n half day thing like weight phone feel weight phone time specially watching long video n got additional exchange value offer average value money come one year complete protection kid house definitely buy product blue light filter save child eye sight,very negative
amazing product valuable money great deal thank u amazon providing great product better product aspect,very negative
phone perfect nice got defective charger kindly replace chargereven complaint saying replaced product stock mistake mine,very negative
pro battery life excellent feel nice hand look stunning stereo speaker give great experience snapdragon decent normal user good casual game heavy game widevine l1 certification u stream netflix amazon prime fhd usb type c nice con display 720p good display support fast charging camera bad normal picture also good even think good shot storage speed slow ram management poor color o properly optimized extra fingerprint good support reverse charging dolby atmos support gorilla glass max brightness quite good,neutral
camera quality poorbattery backup goodinterface screen video quality poorthis bad phone price,very negative
bought phone parent gift week got problem device far prospective great camera quality long battery life great build quality highly recommend phone basic average user one thing phone step behind fast charging feature would great feature anyway aware buying issue thing phone used battery bank phone totally useless feature anyone ask buy additional wire bonus coloros contains bloatware cannot disabled really really hate control phone thing actually encourage people towards rooting phone specific app hated oppo app market use gladly user parent seems care anyway overall oppo a5 great value phone basic daily us average gaming,very negative
bought phone used hr sharing review phoneprons1 value money2 battery back up good normal usages3 rear camera decent need improve4 selfie camera good compared phones5 display decent inbuild tempered glass transparent backcover excellent quallity7 dolby atmos speaker excellent8 heating issue wifi cons1 power adaptor made china company say product made india know give china charger2 fast charging option take 3hr minimum led notification indicator biggest drawback phone even r phone come led notification indicator,neutral
exchanged redmi note said done think redmi note superior every way score oppo department hardware software would bought new redmi available exchange pay besides redmi redmi note offering use mediatek processor time mistaken instead qualcomm snapdragon early day yet review say flavor mediatek well qualcomm snapdragon sure might want look data elsewhere say ndtv gadget site oppo operating system color o suck big time among annoyance visible obvious one get slider get past screen saver punch security number every time bit pain also want pay anything couple hundred buck new theme get phone free right mind pay kitschy wallpaper cheap font window launched also day one assistive ball missing would use assistive ball take screenshots one touch turn display button tried reach oppo customer service try might call found email id tried write answer either best could ask reset o course going would mean downloading installing apps still correct problem lost valuable bandwidth nothing also would reset bloatware got rid painstakingly always use system one touch turn display icon tray shiver timber ever need reach genuine so kinda issue thing miss moving redmi one redmi o second space feature dual device mode like laptop pc two operating system choose switch one phone still fully booted working one o like alt tab pc switch one space back talk wife one end exchange whatsapp girlfriend tried take picture full moon night evening got white light frame thing four camera goodness know many megapixels since smartphones think might whole point and shoot thing bag least dissolve perfectly round moon jesus second coming elsewhere read oppo use night photography take okay enough picture day like shortchanging percent camera like punched four hole thing stuck lens nothing ever like cheap rolex knock off sits wrist tell time use camera complain want buy oppo take picture good mind returning get money back window close want go hassle work able use connect internet hope thing develop snag going ahead least last year afford buy another phone yeah underwhelmed plus side knocked r marked price got little space also got 4gb ram gb good thing start amazon app every time go away googling answer amazon quiz,very negative
wifi calling right box update get wifi calling phone heavy hand literally start pain hour use mainly chat battery display camera fine price range biggest disappointment weight month phone started getting hang sometime much still,very negative
camera quality poor mob get hot playing game,very negative
phone good battery life like music awesome dolby atmos system good fone budget camera performance also excellent budget category performance display also good play pubg without lag excellent battery backup overall good phone category,neutral
best get 10k got sale exchange deal fine display 5camera 5battery 5charging 5performance 5no headset 3gb variantfingerfrint fast use face unlock sd665 great budget chipset updated android color o meh mean 3gb ram us 5gb permanent service left 1gb free memory bought parent big deal heavy user heavy user either buy color o phone atleast go 4gb variant,neutral
bought phone dad pricing bit high even 3gb version however got sale pretty good deal pro big screen2 widevine l1 certification3 stereo speaker quite loud great cheap phone4 dolby atmos5 two usable camera incl ultra wide6 5000mah battery type c charging android update con ultra wide camera lackluster2 10watt charging support only3 l1 certification show netflix prime support phone hd streamingif getting sale quite good phone sale better option samsung realme redmi,negative
phone good term battery life memory rest nothing good received 13th august writing review 20th august issue camera poor much noise picture quality good phone support direct video call pathetic phone get heat charger heat shared screenshot c noticed temperature going c using online meeting apps like zoom m team google meet heating little faster worse part get heated calling make highly uncomfortable talk even hold hand whatsapp notification stuck screen second watching online video see youtube video 480p sometimes video stream 720p video run 1080p device customer care executive able understand problem called time since sunday conduct suggest solution better performance phone improvement noticed yesterday convinced amazon registered problem get back waiting since yesterday afternoon query come yet amazon fool decreased price august sale happy product available lower price decreased price become fixed whenever see sale always buy electronic product sale become fool bought item based friend recommendation done buying electronic product amazon,very negative
first impression beautiful design build full mark first oppo experience bought gift near one need enabled finger print sensor needed yet touch responsive oneplus 6t use day use perfect blend feature great spec already lag whatsoever gb version bloatware one want overall excellent vfm,positive
never thought would go phone thought buy redmi note went stock needed phone urgently finally buy really amazing good opinion phone amazing camera rear camera performnace realy amazing price point front camera performance average wouldnt recommend selfie lover video stabalisation rare camera like phone price segmant like redmi note battery battery beast last day smoothly heavy use may even remiain performance good wouldnt say bestbut redmi note note better smoothness compared smooth pro camera outstanding price2 speaker extra loud good quality3 screen really large colour pop amazingly4 fingerprint face unlock like flagship phones5 design feel rich6 phone feel light handcons front camera could improved2 speed scrolling bit slow camera app could feature like night mode,very negative
normal phone user dont like play game phone waste time want give honest review1 taken white colour phone really looking great suggest dont go black camera good total lense selfie also good mark back camera good expect dslr quality phone camera rating charging quite good fast company providing back cover earphone save r earphone sound good soft finger sensor rating using since hour fell lagging installed office application quit good fast better mi day mi come sale minute finish would recommend need wait sale quite good phone range delivery took le hour prime member credit go amazon cons1 ring tone little bit low,very negative
camera quality bad problem facing heating issue2 unusual battery draining3 mm port defective many smartphones available price segment please waste money,very negative
phone one best dual speaker available market loud clear dolby atmos display p bright overall picture quality sound effect amazing processor sd nice play pub g heavy game medium high setting call quality wifi receiver every aspect phone nice budget k whats good phone battery charging time take 3hrs charge watt charger discharge battrey good 11nm chipset kinda help number time charge canera quality ok best justice price definitely recommend others dont mind hr charging time,neutral
phone good get better spec budget oppo brand disappoint bad camera much good photoholic person otherwise satisfy every aspect battery life display sound quality heating issue fingerprint sensor excellent overall star,very negative
screen screen quality veryy bad minute continuously us headache pain eye let talk processor performance snapdragon processor bad phone even redmi note pro year old snapdragon processor perform better game especially pubg camera camera decentgameplay start playing pubg experience huge lag problem continuously frame drop even low graphic expect type performance performance gaming bad pre apllied screen protector bad smoothness sterio speaker laoud smartphone sterio speaker battery battery life ok expect main problem charging take approximately hour charge charging speed slow hurry emergency belive phone suck get cheated youdesign design good white colour became dull easily accessory get 10w charger usb type c poor quality get earphone 4gb model gb model get earphone please money go somewhere else,very negative
hey amazon time fell cheated low quality product oppo possible please change product brand regardswaiting reply,very negative
oppo a5 good enough per budget operating system need little upgraded phone app calling app user friendly like redmi phone app gallery medium file arranged reverse dated row mean find medium file like pic video current date bottom old dated top convenient rest fine,very negative
phone built quality seems good good finishing good camera audio quality good screen size large uncomfortable riding bike also audio jack bottom side avid music listener cable could bend lot price paid happy product found camera audio good screen resolution could better though size screen used shared image shot phone video stabilisation also seems good overall good phone,very negative
purchased device father priority whatsapp youtube step counting calorie burning counting apps purpose device fine sd ai processor tested gameplay freefire low setting device got hanged unbearable fluctuating fps changed certain setting developer option make ram free bang performance gaming improved drastically simply mean device bad ram management really need ne worked would suggest bare planning buy device multitasking gaming mind think twice otherwise ok go,very negative
purchased phone vowifi calling call drop major concern network provider lane condition worsens entering house vowifi work inside also purchased vowifi firstly got annoyed find vowifi feature catch oppo color o feature upgrade available phone build version ending came know oppo customer care thankfully phone list updated one updating serf purpose make receive call even inside house weight slightly higher side touch camera gud,very negative
using phone almost one month satisfied phone good expected starting camera average camera bad 4k video recording battery life excellent getting plus hour screen usage good part phone speaker finger print scanner screen full hd 720p good phone design perfect usage month felt lag even played pubg find dark mode phone first impression phone bit heavy usng used overall good phone day day use,neutral
guyzz phone good feature budget per amazon app box headset along accessory purchased one found headset missing went replacement even replacement box headset think twice,very negative
phone good price point camera good battery life day using heavy gaming sugeest amazon delivery person manner talk coustemers specially girl oderd sister called said bad beahviour done courir boy,neutral
phone design look pretty cool battery backup amazing camera decent kind person take different different type photo compare price oppo a5 expensive got device rupee price point give fhd display fast charging compare competition,neutral
u want buy good phone price range check others company product almost gud little costly greater issue system update u update update complete upto using lot internet phone get updated feature remain always give notification new update available tried get rid issue vain earphone available phone suggesting oppo lover go exachange mobile due cost u le else recommend buy phone due issue cost,very negative
price r poor term its1touch screen u need press little hard screen fast charging option missing support fastcharger camera poor resolution chinese product claim term mega pixel quality half range claim forget hd even hdgood aspects1 screen size good2 exchange offer provided missing readmi 9prime readmi much better quality le price admit made bad choice watch review youtube,very negative
good mobile cam quality good big screen mobile using movie prime hd vedios pin different others frestative u get samsung ate cost better feature like cam battery life good value money,neutral
using phone around two week following pro con found device pros1 battery life supperb hd plus screen kind consumes le power full hd screen hence battery life mah battery really good speaker sound absolutely best dolby atmos amazing hear two speaker phone quad camera four rear take decent photo price range android update dark mode look awesome along coloros ui display good inspite hd plus display snapdragon run game medium setting without problem cons1 fast charge take around hour fully charge phone screen resolution full hd many completitors offering price front camera good would expect despite mp,neutral
good quality display even hd display color o big improvement predecessor ui customizable according taste dependable camera goodness snapdragon good battery backup enough last throughout day also type c charging port overall good buy recent mobile always stock however good alternative dont regret buying performance comparable recently launched moto g9 nokia redmi prime realme narzo,neutral
phone lot specification one best phone range thing make special battery processor snapdragon 5000mah perfect combination every normal user camera good comparing high end device manageable loved phone whole white look lavish,negative
bought phone dad initially budget 12k considering buy redmi prime sell almost immediately offline cost 2k moreafter bit research found phone relevant cheaper performance smooth sd665 battery life great considering hd 5000mah battery honestly find great deal quality difference term screen resolution use k20 pro fhd panel come android updated oreo system updatesfew thing may dislike lot crap apps uninstalled others camera performance average4 camera mostly useless ultrawide little use thoughfew thing liked areplastic build good personally liked itcomes pretty good back case dad using starting saved rupeestype c charging goodsize great light weight,neutral
ordered 2020received 2020phone look good considering price range compared phone segment look simple elegant fan color o installed launcher atleast look somewhat like stock android display quality ok speaker awesome battery life seems sceptical update day,neutral
mobile phone oppo a5 good almost feature battery running fine camera good display average wi fi calling working fine overall phone good price range recommend phone great go,neutral
thought oppo good choice except camera nothing good phone phone much slower internet compared previous phone sometimes hv wait lot open site high speed internet connection phone much faster internet speed also keypad problematic many time press one alphabet isctyped found different alphabet typed need lot correction typing know happening good phone buy,negative
heard negative review guess differs case work well camera quality good definitely value money,neutral
one worst product ever seen app cloner present simultaneously maximum app use fast charger present well battery service good according instruction oppo many problem present phone suggest buy phone many option available price,neutral
product mark commits say also product come ear phone either r removed given phone 1st last time bought phone amazon would suggest people buy online site visit shop take per preference seeing product,very negative
phone good camera quality poor please oppo sovle ta camera quality giving u software update price slightly overpriced battery phone really noticable camera good described,negative
phone design perfect fingerprint reader face unlock fast audio quality awesome lot required important feature 44gb space present 64gb updated android also camera decent enough nightscape mode choice camera app 3gb ram capture good picture dark processor also good battery take almost 3hr charge long lasting backup good multitasking multimedia heavy gaming user great choice price lot good choice,neutral
even month phone problem screen finger print reader volume rocker power responding screen unable respond well screen detect touch regretting purchase seller clever enough include return week purchase,very negative
good product support 4k camera video photo p full hd 4k support battery life good two day battery life charging full 2and half hour take like sooooo much redmi redmi good privacy camera buy phone,neutral
hello review giving using phn almost month good phn price range good finger print sensor3 processor good lag found till now4 camera good ok price5 battery life good continuous use gaming get hot6 phn good price range compare redmi vivo samsung,negative
first time ordered oppo phone quite impressed feature spec true spec phone working great good battery life look amazing ordered white white best part received silicon cover set earphone included cost r never get earphone box like phone may month line buy another oppo replacing xiomi,neutral
heavy phone stutter slightly scrolling much bloatware annoying crap continues future buy android one iphone gotten completely ridiculous clean oppo,very negative
dont buy camera blurred take much attention selfi cheat spec,very negative
ok price back panel look black shine lot polished glass lot possibility straches using back cover mobile becomes damn old oppo occupies lot space internal storage due theme software etc good take upto 3hr charging time quite disappointing type c look bulky standard mobile best exchange value last 6years depends upon user,neutral
genuinelyit useless camera phone even normal photo goodhorryble camera front camera 8mp capture better model mi y2also slow due 3gb ram battery good day backup 5000mahcolour display goodoverall better go xiomi price pointif budget get f series perform betterhave get help,neutral
country origin india made china phone,neutral
good phone price segment quad cam big battery video stabilization u expect budget device reviewing one day use battery 10camera 10overall 10no heating till work smooth lagging overall decent phone,neutral
would great phone full hd display yes contains 720p resolution old modelother spped hardware okey devicei owned xiaomi mobile recently like software xiaomi offer easy excess apps,very negative
good value money bought amazon big billion sale mom getting good value old product totally loving also looking samsung m30s screen protection also failed one drop test moreover good deal exchanging go trust using 1st time oppo regret,neutral
fingerprint slow smoothness screen quite slow rest day day performance good good gaming entry level processor still basic job wellbattery life amazing almost hour sot slow charging due 10watt know support watt notcamera decent lit environment low light quality averagesound quality quite good due dual speakersrest o neat clean major problem noted,neutral
bought mom know mom use phone easily spend day two simply looking forwarded video respective group surfing fb hence focus buy long kasting battery life phone happy buy one stunning performance amazing camera processor fast responds quickly per need purchased perfect lower mid range phone,very negative
pathetic phone even support normal usage hang like anything pls buy month purchase phone started lagging reason heavy user neither play game ph use heavy apps still ph hang,very negative
got phone website 24th august day using issue facing day use hang lotsecondly today 29th aug display turned like showing picture review want go service center pandemic 60kms away home kindly replace phone asap hoping positive response,negative
excellent mobile phone great feature sound awesome zumbo battery backup camera average better,neutral
bought exchange old phone price reasonable 4gb ram 128gb rom spec snapdragon processor point battery charge slowly run day wifi mobile data gps video function touch response ok using gaming without gaming lag display normal camera ok overall good phone normal usage gaming,neutral
respected sir camera may increased high quality pixel resolution also data icon click may go particular setting position next swipe top downward hotspot shortcut key may provided desktop thank sir,neutral
good phone,very negative
used samsung redmi sony vivo phone never experienced sound system great first time bought oppo phone awesome go,very negative
good phone exchangedesign starperformance starcamera starbattery star,neutral
gifted aunt working budget however like camera picture quality although still working strong aunty usuage minimal,neutral
nice built phone everything tremendous economical budget purchase next update near future performance life durability storage ram rom speed app working nicely camera image also satisfactory,neutral
super phone price range good quality camera sound etc finger print face recognition reader still checked tried based mobile performance hopefully also work well excellent product protective case given pack also excellent,neutral
please buy phone got broken phone yet ready replaced remedied provide poor quality phone,very negative
camera quality poor,negative
good opportunity exchange happy,neutral
battery heat bit used sometime charging battery life look like 5000mah see getting low compared iphones way lesser mah camera fine apps o look stable prima facie,neutral
fingerprint faceunlock fast dolby sound osmmm video quality average battery best day light camera good good night realy pubg play smooth problam mobile look fell osmmm,neutral
good phone budget nice get phone quality battery back awsome white color fell good quad camera quality awsme enjoy,neutral
bkwas phone totally buy phone weighted phone price camera quality bad mp price better u go realme pro redmi note honor 8x honor 20i etc,very negative
camera mark exchange price mine k worth k price battery backup almost good day use normal,neutral
bought hour agocamera quality even descent even support google payadd 2k budget get something better buy phone risk,very negative
bought 7k exchangereviewing one monthbattery backup good compared old device moto e5 plus dual speaker r good quality dolby surround awesome camera clearity ok c type charge support little fast charging build quality good better buy exchange,neutral
best value phone price sceptical camera quality camera click decent picture exchanged xiomi redmi 7a got trust worth every penny quite smooth good display great sound quality build quality quite solid highly satisfied price pic attached reference guy,neutral
battery life wonderful last two day standard use gaming ui lag time tolerate come side camera avarage good one also absolutely better one detail low thing good considering price point avarage choise,neutral
product bad hang lot bought month ago imagine dirty product term phone lag would recommend one buy phone want replacement phone costit would great oppo replace phone purchased recently one month ago fooled u badly,very negative
heard oppo phone near good foundtough quality white color apprantly seems uniquefast charging support mah charged hour time c type pin never fails damage one day review looking best phone purchased,very negative
looking good mobile finally doubt bought though already using oppo brand seriously got love mobileif u r looking mobile 15k may meet need camera 5fingerprint 5battery life,neutral
excellent phone nice feature great pic nice spec,neutral
mobile getting hang 3thrice day work min hang,neutral
nice hardy phone charging pin different smart phone made india thats make satisfied,neutral
tried redmi flash sale luck hated flash sale bought phone regret work expected liked,neutral
good choice mobile tight budget segment decent camera good battery life sound quality drawback found e fast charging,neutral
dear sir madam please note recieved mobile phone today morning please note unfortunately ois headphone provided plea take action following,very negative
network lockthis phone network lock used india writing many mail customer service one solve issue give false hope frequent traveller get solved leaving india ended buying new phone destination,very negative
please return replace delivery product today poor camera quality worthless getting return option,neutral
got phone exchange mi4 6k delivery fast happy shopping amezon oppo a5 good phone camera battery quality good classic finished excellent feature happy,neutral
excellent mobile oppo picture quality excellent worth purchase mobile quad cam huge battery 5000mah long losting compared peer mobile best,positive
order delivered fast happy oroduct get heat enough battery drain fast hang reboot auto hr talk amazon said technician say replace scheduled technician monday,neutral
good looking phone average quality camera performance dual speaker sound impressive price high,neutral
poor camera build quality pathetic display heavy plus battery suitable gaming,negative
excellent product worth continue provide best service like best wish image development,positive
12mp 8mp 2mp 2mp nothing worst camera quality oppo famous good camera quality day cheating customer name good camera,neutral
awesome product battry awesome fast charging hr full charge camera awesome bujet value mony thanks amezon fast ddlvr,neutral
though purchased aunt camera battery dolby atmos ui pretty good u camera lover go undoubtedly best issue lagging,neutral
reason phone high spec low price oppo integrated advertisement popup various random apps okay good phone also camera average despite cam setup back,neutral
prosbig bright displaygood ram managementno heating issuesno adscon scamera quality poorno fast chargingno android10non full hd display,neutral
duel speaker sound quality superbest dolby atmos,very negative
good mobile budget sound quality battery blackup superbcamera overall value money product,very negative
smooth screen good fingerprint sences good camera clarity night little blur image ok,neutral
sound quality battery good camera quality average software slow normal user color build quality good,neutral
take taken full charge time percentage hr time opened new phone getting hang apps r opened fast opinion gud phone,very negative
amazing product great camera quality stylish look,neutral
regarding parcel worst poor packing missing headphone phone average take long time charge heating compare oppo a5 3yrs old moto g5 plus time better suggestion buy motorola product,very negative
thanks delivery within hoursoverall good phone camera quality struggle low light slow image processing suggest normal user buy 3gb varient havey user spend money consider product thank,very negative
camera extreme bad oppo a37f better camera quality oppo a5 disappointing mobile has1 bad camera bad display unsatisfactory performance high price compared phone quality non hd display,very negative
expected phone lag installed heavy apps game first went oppo bit disappointed,very negative
value money quad camera phone look stunning well draw back heavyness device generation phone weighing,negative
excellent phone affordable price luv good feature good camera earphone also available,neutral
superb budget phone got r exchange old phone price phone really satisfactory camera good battery life excellent overall happy oppo a5,neutral
like oppo a52020 dolby speaker loud finger print work time work bettery life bad charge 90 calling minute bettery also power sever mode want return item dont buy oppo phone west money amazone retune phone bad service,very negative
one best phone ever bought review one year use,positive
best mobile price good working night mode also included mobile awesome,neutral
yesterday got oppo a5 per detail mentioned box headset also available delivery found headset sound quality headset company good oppo a5,neutral
fingerprint reader working fast battery life duriable camera quality good overall think phone good price,neutral
within month phone get hung everyday at least timespathetic product never seen strongly recommends buy stupid product,very negative
bought mom battery big screen really fantastic battery life good watch serial mobile enough 4gb ram inbulit camera ok fingerprint slightly slower need fast quick,negative
bought phone found everything great except one thing size phone wish could get configuration phone size around pocket friendly,very negative
mobile good expected good camera quality confused red mi oppo using oppo say made good decision buying oppo delivery fast got phone within hour order overall good experience,neutral
nice phone good display dolby sound awesome battery amazing worth buying,neutral
camera quality night bad battery life good support fast charging display hd full hd ok sound amazing dolby atom good overall good camera bed,neutral
battery standing 36hrs full charging charger fast charger camera quality ok,neutral
good gamming performance good free fire pubg lite handling nice pubg mobile playing camera normal mode worst go camera setting ultra hd camera mode available mode photo quality good sound superb battery full charge time 2h min heat mobile bad good mobile,neutral
liked overall quality mobile battery backup superb display processor speed well balanced performance device camera quality could better expecting better quality camera ok price design look elegant attractive everyone loved,neutral
best phone range wife big fan oppo look wise nice bought phone wife batry good camera quality better phone like redmi realme bcz last time used redmi pro,negative
excellent product budget price point build solid interface smart ease use good buy,neutral
camera build quality bad compare manufacturer cost product understand make bad product price also fluctuate lot buy available twice buying,very negative
great value maney owsom camera awsome music display quality far better redmi mobile mobile included samsung budget range total value maney,very negative
dealer good headphone mation box headphone availabe box,neutral
good budget phone within 15k,neutral
phone sooo good processing back camera awesome dont like front camera much expected battery good fast charging worth buying thz mobile time hang idk niz future,neutral
mobile good price range except camera performance many camera picture quality good,neutral
good phone range blemish fast charging missing expected model set bar high fast charging still feature top notch,neutral
come factory fitted tampered glass immediately android color update take hour full charging come hour moderate usage con camera hyped internet disconnection observed occasionally,very negative
dislike like good using online study purpose mainly finger print reader added extra privacy camera battery life excellent totally good choice online study general purpose,neutral
worth price camera lens perfect sound effect tremendous headphone inbuilt back case inbuit battery life perfect highly valuable,positive
worst phone drain battery fast battery defective headphone jack also defective connect headphone dont waste mony phone amazon service also worst phone replace policy replace,very negative
budget smartphonewith great processorexcellent gaming superb camera feature great clarityfast fingerprint face unlockdolby atmos sound systemand fast charging compared 18watt vivo charger,neutral
well one best budget mobile good build quality feature,positive
high performance happy use next generation specification really money spent,neutral
problem thing disappoints camera quality marketing show camera good otherwise phone good per price,neutral
good house wife woman gaming interest battery life excellent back camera better fornt camera disappointed charging also delay,neutral
nice mobile say value money mobile battery life good play freefire give backup day without playing game give day back battery excellent camera good excellent,neutral
nice smart phone big screen size looking hot also budget,neutral
camera seems ok normal photography provide fast charger take long hour full charge battery backup good full day full charge left end day,neutral
ordered thought give type performance seriously loved color also fab camera quality also good best think overall say go,neutral
good mobile redmi user mobile compared redmi oppo quality particularly mobile level overall good mobile good,neutral
good facial unlocking work fast even dim light huge battery,neutral
awesome battery life camera mark everything ok,neutral
product detailed sreen protector scratched multiple crack screen protector mobile completely unpredicted amazon,very negative
everything awesome sound quality superb double dolby sound,very negative
received defect item requested replacement tear bottom screen really gorilla glass company claim gorilla glass dont think product good,very negative
bought oppp a5 lot research prosbattery back good performance tried big game thoughcons notification lightthis good phone segment go,neutral
defect screen technician expected visit day check eligible replacement update,neutral
much heating issue battery backup return product time,very negative
product good received good condition delivery boy also cooperative got product per conveinient time place thanks providing delivery boy z contact number much helpful customer thanks regard,very negative
camera quality good battery life good gaming play pubg pubg lite lack device without gameplay mobile value money,neutral
purchase new mobile phonefrom amazon maintion sure description handset also product still received thing please find obve attachment video,neutral
satisfied product also refund return product,very negative
slim good looking touch good camera quality superb sound quality good phone good price,neutral
great phone oppo a5 feature feature battery backup coming upto day full charge using mobile data display asumne like mi note pro cost superb phone buy hang problem,very negative
go overall good mobile price range people also say good find good feature nd every thing,very negative
value money phncamera quality good good battery awesomelook dhasu,neutral
good phone provide earphone nice battery good display poor camera performance good gift parent pubg performance awesome dolby atmos give better feel music thanks oppo beautiful phone,positive
nice product ok camera quality upgrade much main importan fablous head phone box quality back cover phone act dolby speeker speeker quality good,very negative
renewed product screen proper finish edge compare another set onba mobile shope u r cheater amazon,very negative
camera would hav better battery life good fast charging let sound good earphone,neutral
good v price say unbelievable phone price,very negative
fingerprint reader go sometimes life better although 5000mah camera quality,neutral
good mobile value money oppo camera quality also good well battery life recommended buy phone u go range budget,neutral
best value money mobile phone everything nice package camera would little better price point nothing better expected overall good buy,very negative
gifted mom birthday gift really felt happy feature speed power backup look need phone really caters need,very negative
good phone budget bought maid good phone value money,neutral
best phone budget come android pie really good camera better phone bought month,very negative
look wise good camera battery also good like superb phone budget,neutral
purchased oppo first time would say best phone camera quality better mi battery performance also good specially back design good phone little costally xioami honestly best,neutral
great phone,neutral
oral best price good mobile build quality good,neutral
expected sound quality dolby atom enjoy hear song oppo a5 device overall device best price range one device best choice thanks amazon appario,neutral
fingerprint reader small size hence take time search performance good battery also good camera low light improvement required,neutral
phone touch bad slow responding user friendly notification light day,very negative
look phone goodbut come charging take hourthe camera goodand sound quality also lowoverall value money,neutral
